Latitude,Longitude
23ø50?N,91ø16?E
27ø11?N,78ø01?E
23ø02?N,72ø35?E
31ø38?N,74ø52?E
12ø58?N,77ø34?E
30ø45?N,76ø47?E
13ø05?N,80ø16?E
27ø29?N,95ø00?E
27ø20?N,88ø37?E
26ø11?N,91ø44?E
17ø22?N,78ø29?E
26ø56?N,75ø49?E
23ø03?N,70ø11?E
26ø28?N,80ø20?E
9ø58?N,76ø17?E
22ø34?N,88ø22?E
25ø19?N,79ø38?E
26ø51?N,80ø57?E
30ø55?N,75ø51?E
18ø59?N,72ø50?E
21ø08?N,79ø05?E
28ø37?N,77ø13?E
25ø37?N,85ø09?E
11ø40?N,92ø46?E
18ø31?N,73ø51?E
25ø34?N,91ø53?E
31ø06?N,77ø10?E
26ø43?N,88ø26?E
34ø05?N,74ø47?E
21ø10?N,72ø50?E
26ø38?N,92ø48?E
8ø29?N,76ø57?E
17ø41?N,83ø13?E
23ø50?N,91ø16?E
27ø11?N,78ø01?E
23ø02?N,72ø35?E
31ø38?N,74ø52?E
12ø58?N,77ø34?E
30ø45?N,76ø47?E
13ø05?N,80ø16?E
27ø29?N,95ø00?E
27ø20?N,88ø37?E
26ø11?N,91ø44?E
17ø22?N,78ø29?E
26ø56?N,75ø49?E
23ø03?N,70ø11?E
26ø28?N,80ø20?E
9ø58?N,76ø17?E
22ø34?N,88ø22?E
25ø19?N,79ø38?E
26ø51?N,80ø57?E
30ø55?N,75ø51?E
18ø59?N,72ø50?E
21ø08?N,79ø05?E
28ø37?N,77ø13?E
25ø37?N,85ø09?E
11ø40?N,92ø46?E
18ø31?N,73ø51?E
25ø34?N,91ø53?E
31ø06?N,77ø10?E
26ø43?N,88ø26?E
34ø05?N,74ø47?E
21ø10?N,72ø50?E
26ø38?N,92ø48?E
8ø29?N,76ø57?E
17ø41?N,83ø13?E
23ø50?N,91ø16?E
27ø11?N,78ø01?E
23ø02?N,72ø35?E
31ø38?N,74ø52?E
12ø58?N,77ø34?E
30ø45?N,76ø47?E
13ø05?N,80ø16?E
27ø29?N,95ø00?E
27ø20?N,88ø37?E
26ø11?N,91ø44?E
17ø22?N,78ø29?E
26ø56?N,75ø49?E
23ø03?N,70ø11?E
26ø28?N,80ø20?E
9ø58?N,76ø17?E
22ø34?N,88ø22?E
25ø19?N,79ø38?E
26ø51?N,80ø57?E
30ø55?N,75ø51?E
18ø59?N,72ø50?E
21ø08?N,79ø05?E
28ø37?N,77ø13?E
25ø37?N,85ø09?E
11ø40?N,92ø46?E
18ø31?N,73ø51?E
25ø34?N,91ø53?E
31ø06?N,77ø10?E
26ø43?N,88ø26?E
34ø05?N,74ø47?E
21ø10?N,72ø50?E
26ø38?N,92ø48?E
8ø29?N,76ø57?E
17ø41?N,83ø13?E
23ø50?N,91ø16?E
27ø11?N,78ø01?E
23ø02?N,72ø35?E
31ø38?N,74ø52?E
12ø58?N,77ø34?E
30ø45?N,76ø47?E
23ø50?N,91ø16?E
27ø11?N,78ø01?E
23ø02?N,72ø35?E
31ø38?N,74ø52?E
12ø58?N,77ø34?E
30ø45?N,76ø47?E
13ø05?N,80ø16?E
27ø29?N,95ø00?E
27ø20?N,88ø37?E
26ø11?N,91ø44?E
17ø22?N,78ø29?E
26ø56?N,75ø49?E
23ø03?N,70ø11?E
26ø28?N,80ø20?E
9ø58?N,76ø17?E
22ø34?N,88ø22?E
25ø19?N,79ø38?E
26ø51?N,80ø57?E
30ø55?N,75ø51?E
18ø59?N,72ø50?E
21ø08?N,79ø05?E
28ø37?N,77ø13?E
25ø37?N,85ø09?E
11ø40?N,92ø46?E
18ø31?N,73ø51?E
25ø34?N,91ø53?E
31ø06?N,77ø10?E
26ø43?N,88ø26?E
34ø05?N,74ø47?E
21ø10?N,72ø50?E
26ø38?N,92ø48?E
8ø29?N,76ø57?E
17ø41?N,83ø13?E
23ø50?N,91ø16?E
27ø11?N,78ø01?E
23ø02?N,72ø35?E
31ø38?N,74ø52?E
12ø58?N,77ø34?E
30ø45?N,76ø47?E
